SampleID	Species	Site	A	C	D	G
KB_Diplo_1	Diploastrea heliopora	Kimbe Bay	0	0	20605	0
KB_Diplo_10	Diploastrea heliopora	Kimbe Bay	0	0	59159	0
KB_Diplo_11	Diploastrea heliopora	Kimbe Bay	0	0	63540	0
KB_Diplo_12	Diploastrea heliopora	Kimbe Bay	0	0	22683	0
KB_Diplo_13	Diploastrea heliopora	Kimbe Bay	0	0	38221	0
KB_Diplo_14	Diploastrea heliopora	Kimbe Bay	0	0	40483	0
KB_Diplo_15	Diploastrea heliopora	Kimbe Bay	0	0	28361	0
KB_Diplo_16	Diploastrea heliopora	Kimbe Bay	0	0	44348	0
KB_Diplo_17	Diploastrea heliopora	Kimbe Bay	0	0	29210	0
KB_Diplo_18	Diploastrea heliopora	Kimbe Bay	0	0	32884	0
KB_Diplo_19	Diploastrea heliopora	Kimbe Bay	0	0	45356	0
KB_Diplo_2	Diploastrea heliopora	Kimbe Bay	0	0	45190	0
KB_Diplo_20	Diploastrea heliopora	Kimbe Bay	0	0	22430	0
KB_Diplo_3	Diploastrea heliopora	Kimbe Bay	0	0	51529	0
KB_Diplo_4	Diploastrea heliopora	Kimbe Bay	0	0	29878	0
KB_Diplo_5	Diploastrea heliopora	Kimbe Bay	0	0	36749	0
KB_Diplo_6	Diploastrea heliopora	Kimbe Bay	0	0	21281	0
KB_Diplo_7	Diploastrea heliopora	Kimbe Bay	0	1372	23434	0
KB_Diplo_8	Diploastrea heliopora	Kimbe Bay	0	0	39849	0
KB_Diplo_9	Diploastrea heliopora	Kimbe Bay	0	0	19009	0
KB_Pachyseries_1	Pachyseris speciosa	Kimbe Bay	0	0	78329	0
KB_Pachyseries_10	Pachyseris speciosa	Kimbe Bay	0	43917	15082	0
KB_Pachyseries_12	Pachyseris speciosa	Kimbe Bay	0	263	49189	0
KB_Pachyseries_13	Pachyseris speciosa	Kimbe Bay	0	0	76241	0
KB_Pachyseries_14	Pachyseris speciosa	Kimbe Bay	0	15692	79891	0
KB_Pachyseries_15	Pachyseris speciosa	Kimbe Bay	0	172	77354	0
KB_Pachyseries_16	Pachyseris speciosa	Kimbe Bay	0	2637	147458	0
KB_Pachyseries_17	Pachyseris speciosa	Kimbe Bay	0	0	65609	0
KB_Pachyseries_18	Pachyseris speciosa	Kimbe Bay	0	0	41366	0
KB_Pachyseries_19	Pachyseris speciosa	Kimbe Bay	0	0	53328	0
KB_Pachyseries_2	Pachyseris speciosa	Kimbe Bay	0	215	63266	0
KB_Pachyseries_20	Pachyseris speciosa	Kimbe Bay	0	0	63980	0
KB_Pachyseries_3	Pachyseris speciosa	Kimbe Bay	0	0	55963	0
KB_Pachyseries_4	Pachyseris speciosa	Kimbe Bay	0	69534	803	0
KB_Pachyseries_6	Pachyseris speciosa	Kimbe Bay	0	92633	2125	0
KB_Pachyseries_7	Pachyseris speciosa	Kimbe Bay	0	495	25093	0
KB_Pachyseries_8	Pachyseris speciosa	Kimbe Bay	0	0	140346	0
KB_Pachyseries_9	Pachyseris speciosa	Kimbe Bay	0	324	74771	0
KB_Pacuta_1	Pocillopora acuta	Kimbe Bay	0	4979	52729	0
KB_Pacuta_10	Pocillopora acuta	Kimbe Bay	0	857	40255	0
KB_Pacuta_11	Pocillopora acuta	Kimbe Bay	0	2236	42889	0
KB_Pacuta_12	Pocillopora acuta	Kimbe Bay	0	10872	23133	0
KB_Pacuta_13	Pocillopora acuta	Kimbe Bay	0	244	30648	0
KB_Pacuta_14	Pocillopora acuta	Kimbe Bay	0	1988	47934	0
KB_Pacuta_15	Pocillopora acuta	Kimbe Bay	0	2266	41429	0
KB_Pacuta_16	Pocillopora acuta	Kimbe Bay	0	3458	6938	0
KB_Pacuta_17	Pocillopora acuta	Kimbe Bay	0	12153	22061	0
KB_Pacuta_18	Pocillopora acuta	Kimbe Bay	0	1994	30443	0
KB_Pacuta_19	Pocillopora acuta	Kimbe Bay	0	2454	51269	0
KB_Pacuta_20	Pocillopora acuta	Kimbe Bay	0	4144	60060	0
KB_Pacuta_3	Pocillopora acuta	Kimbe Bay	0	2171	52211	0
KB_Pacuta_4	Pocillopora acuta	Kimbe Bay	0	706	81150	0
KB_Pacuta_5	Pocillopora acuta	Kimbe Bay	0	1691	13147	0
