ITS2 type profile	Sample	SampleID	Species	Site	Reads	53416	C66/C3/C91	C15	C15	C15h	C40	C3/C21/15180_C	C15	C15	C21	C15	C116	C15/C15cp	C21	C3/15176_C	C1d	C15	C21/C3	C21/C3	C21/C116a	C27	C15	C1d	C15	C40	C3	C116	C116a	C40/C3	C3/15298_C	C3/C21	C15h	32439	C1	C15bi	C3	15273	15324	D1	D1/D2d	D1/D6	D1	D1	D1/D4/D2.2	D1	D1	D1/D6	D1	D1	D1/D2d	D1	D1	D1	D1	D1	D1	D1	D1/D2d	D1/D6	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D2d	D1	D1	4601	2952	32590	G3a	15431	G3l
446	MA_14	MA_Plutea_14	Porites lutea	Madang	257947	0	0	0	0	0	0	0	0	0	0	257310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
520	MA_20	MA_Plutea_20	Porites lutea	Madang	255435	0	0	0	0	0	0	0	0	252818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
426	MA_18	MA_Plutea_18	Porites lutea	Madang	242195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
468	MA_15	MA_Plutea_15	Porites lutea	Madang	238435	0	0	0	0	0	0	0	237184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
448	MA_12	MA_Plutea_12	Porites lutea	Madang	222470	0	0	0	0	0	0	0	221953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
424	MA_19	MA_Plutea_19	Porites lutea	Madang	213670	0	0	0	0	0	0	0	0	212379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
472	MA_10	MA_Plutea_10	Porites lutea	Madang	187438	0	0	0	0	0	0	0	0	0	0	187280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255	Rab-15	RA_Pachyseries_15	Pachyseris speciosa	Rabaul	176528	0	0	0	0	0	0	164239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
430	MA_07	MA_Plutea_7	Porites lutea	Madang	171124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
369	MA_19	MA_Pacuta_19	Pocillopora acuta	Madang	157410	0	9219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
