sample,dominant,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
C40-C3-C115,C40,11,-0.13163881,0.001452241,-0.062600344,0.03316091,-0.023491508,0.022017484,0.000852599,-0.002453615,-0.001887151,-0.001871308,-8.60E-05,-0.000618389,0.000248619,0.00024347,0.00044757,0.006822996,-8.74E-05,0.000679481,-6.26E-06,4.18E-05,-4.29E-05,6.25E-06,9.38E-07,1.54E-06,6.03E-09,2.22E-06,0,0,0,0,0,0,0,0,0,0,0
C40/C3,C40/C3,15,-0.11876192,0.001560675,-0.045625141,0.025387693,-0.01710541,0.014816236,-0.000413641,-0.002232717,-0.002222805,-0.003448796,0.000736619,-0.001338252,0.000611528,0.000455427,0.000562972,0.000561188,-2.86E-05,-0.000479482,6.39E-06,-4.17E-05,5.53E-05,-8.44E-06,-9.33E-07,-1.16E-06,-1.74E-08,-4.71E-06,0,0,0,0,0,0,0,0,0,0,0
C40,C40,41,-0.142808038,0.00136021,-0.077484652,0.040049361,-0.029181559,0.02842395,0.001971082,-0.002689087,-0.001642472,-0.000449624,-0.001006659,0.000162005,-0.000196559,-0.000113825,-0.000620092,-0.005853452,4.38E-05,-0.000314489,1.11E-06,-9.92E-06,-5.31E-06,2.15E-06,4.21E-07,7.51E-07,2.92E-09,1.01E-06,0,0,0,0,0,0,0,0,0,0,0
C21-C21u-C3-C21v,C21,12,-0.090156269,0.001718951,-0.002734261,0.003315248,0.001944624,-0.006221072,-0.003565884,-4.98E-05,-0.000176939,-0.003162365,0.005114423,0.000535749,0.000317961,-0.010358247,-0.006183937,0.000151088,-0.000719218,0.000388675,-1.14E-05,4.97E-05,-0.000135854,2.87E-05,7.07E-06,1.44E-05,-2.04E-08,-3.64E-07,0,0,0,0,0,0,0,0,0,0,0
C3/C21/15180_C-C3av-C3b-C3at-C3dp,C3/C21/15180_C,13,-0.094932582,0.001670172,-0.005351505,0.002949461,0.006314142,-0.005681998,0.000547142,0.006605358,0.007672562,0.016849048,0.001048655,-0.003134525,0.001640338,0.002085439,-0.001296895,7.13E-05,-0.000333164,-0.0002552,0.0001779,-0.004177049,-0.000771535,0.000101745,1.77E-05,3.82E-05,-1.59E-07,1.19E-07,0,0,0,0,0,0,0,0,0,0,0
C3/15176_C-C21-C21af-15274_C,C3/15176_C,16,-0.093411784,0.001641041,-0.004458226,0.002877059,0.002733773,-0.006900478,-0.003450152,0.000803465,0.001609283,-0.000127032,0.00907363,0.013561564,-0.011815637,0.003111546,-0.000181703,1.30E-05,-0.000307881,-1.70E-05,-4.14E-06,1.40E-05,-6.48E-05,1.56E-05,4.07E-06,8.36E-06,-1.32E-08,-3.00E-08,0,0,0,0,0,0,0,0,0,0,0
C3/15298_C-C21-C3av-C3b-15184_C,C3/15298,17,-0.098789343,0.00158353,0.001315622,0.000862054,0.003040745,-0.004733408,-0.003895803,-0.001242431,0.00165083,0.009544929,-0.018068549,0.00975955,0.001994268,-0.003369845,0.002131721,0.000351346,0.000356676,-0.00170183,2.51E-05,-0.000108058,0.000282443,-5.77E-05,-1.22E-05,-2.61E-05,-2.30E-10,-3.35E-09,0,0,0,0,0,0,0,0,0,0,0
C66/C3/C91-C1-1667_C-1748_C,C66/C3/C91,18,-0.082397932,-0.007061935,-0.016388252,-0.103066432,0.015565589,0.040750982,-0.00501959,-0.018001597,-0.005827895,0.003920503,0.007580027,0.003074294,0.005096221,-0.000449581,0.000984294,3.70E-05,-0.000151355,-0.000464151,6.53E-07,-1.08E-05,-3.79E-05,1.52E-05,4.84E-06,1.00E-05,-4.59E-08,2.62E-08,0,0,0,0,0,0,0,0,0,0,0
C21/C3-C3i-C3av-C3b,C21/C3,31,-0.089128487,0.001754224,-0.002181144,0.003501047,0.001758404,-0.006074766,-0.003663536,-5.28E-05,0.000173051,9.28E-05,0.001425628,0.000989851,0.003372589,-0.000818203,0.003744741,-0.001021753,0.003261913,0.005564981,-1.20E-05,-0.000106872,-0.000109106,2.71E-06,2.20E-06,6.11E-07,3.07E-07,-3.08E-07,0,0,0,0,0,0,0,0,0,0,0
C3/C21-15180_C-C3av-C3dp,C21/C3,32,-0.095859558,0.001653153,-0.005841946,0.002839289,0.00660384,-0.005885958,0.00063046,0.006986226,0.008440796,0.018925668,0.000951446,-0.002884794,0.002123472,0.002680569,-0.001937427,-1.76E-05,-0.001401296,0.000264552,-0.000180076,0.003760323,0.000360275,-3.02E-05,-4.52E-06,-1.17E-05,2.62E-07,-2.09E-07,0,0,0,0,0,0,0,0,0,0,0
C3-C1-C66-C91,C3,33,-0.083602128,-0.000234689,0.004728328,-0.049452534,0.012286025,0.025349921,-0.006276335,-0.011587855,-0.004102323,-0.007761628,-0.01275006,-0.004834913,-0.006877026,0.001621288,-0.002020942,-9.77E-05,-8.47E-05,0.000901627,-8.18E-06,4.12E-05,-4.59E-05,7.15E-07,-1.38E-06,-2.93E-06,8.54E-08,-2.31E-08,0,0,0,0,0,0,0,0,0,0,0
C15h-C3-C21-15180,C15h,34,0.010698833,0.002017359,-0.003046155,0.00369834,0.052050931,0.030496465,0.043312863,0.024513654,0.005384885,0.000994712,0.000887181,-0.002674394,-0.002342051,-0.000522525,0.000337788,3.63E-05,0.000377117,-0.000133422,9.02E-06,-4.97E-05,0.000111907,-2.36E-05,-4.33E-06,-9.42E-06,3.12E-08,2.72E-08,0,0,0,0,0,0,0,0,0,0,0
C21/C3-C3av,C21/C3,35,-0.086782248,0.001812093,-0.000954248,0.003821663,0.00120279,-0.005603519,-0.003765149,-0.000581131,-0.000841669,-0.001636148,0.001463396,-0.001103674,0.003313508,0.001031428,0.001707886,-0.000322995,-0.000251483,-0.000659337,-4.92E-05,0.001042981,-3.01E-05,7.18E-05,1.87E-05,5.18E-05,-1.10E-06,9.20E-07,0,0,0,0,0,0,0,0,0,0,0
C3,C3,42,-0.084150318,0.001839489,0.000427806,0.004134408,0.000423746,-0.00496096,-0.003851937,-0.001531699,-0.002989351,-0.007641569,0.003292372,-0.003373467,0.001731447,0.001083729,0.001790062,-0.000237771,-5.72E-05,-0.002277717,3.46E-05,-0.000258818,0.000321986,-7.41E-05,-1.39E-05,-2.82E-05,3.63E-07,-9.78E-05,0,0,0,0,0,0,0,0,0,0,0
C21/C116a,C21/C116a,39,0.02758215,0.108423369,-0.005756599,0.000679519,0.041268001,0.022610362,-0.02167441,0.017567176,0.013660078,-0.003673693,0.000147414,-0.001231744,-0.001852542,-0.000762318,0.000478225,2.28E-05,0.000478974,-8.96E-05,8.51E-06,-2.15E-06,0.000170489,-4.40E-05,-1.25E-05,-2.54E-05,-2.95E-10,-2.97E-10,0,0,0,0,0,0,0,0,0,0,0
C21,C21,45,-0.084200094,0.001861666,0.000406768,0.004142761,0.000487206,-0.004996334,-0.003857189,-0.001490816,-0.002927879,-0.007666358,0.003299428,-0.003391616,0.001659023,0.000997496,0.001795168,-0.000297787,2.04E-05,-0.002272313,3.68E-05,-0.000254859,0.000397735,-0.000113306,-3.17E-05,-7.40E-05,2.89E-07,9.92E-05,0,0,0,0,0,0,0,0,0,0,0
C1d-C42.2-C1-C1b,C1d,19,-0.165464922,0.001176206,0.088920943,0.015151653,-0.00974577,0.003743983,0.000756479,-0.000298276,-0.00099787,-0.001241642,0.000737318,-0.000441009,0.000282674,0.000147556,2.49E-05,-9.75E-06,-2.96E-05,9.34E-06,-8.09E-07,1.97E-06,-1.56E-05,4.77E-06,1.43E-06,3.35E-06,-0.00023903,-9.82E-09,0,0,0,0,0,0,0,0,0,0,0
