d you,dominant,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
D1-D4-D6-1428-D4k,D1,54,-0.020732921,0.013772452,-0.004420728,-0.007628871,-0.003730847,-0.002670502,-0.003684971,-0.002311395,-0.000891194,-0.004065508,-0.000134309,0.004406271,-0.002855349,0.007459577,-0.000568955,0.00027164,0.000210544,-0.000581566,0.000199823,0.000621502,-0.000297579,2.27E-05,1.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D4-D6-D2.2-D1g,D1,55,-0.025614032,0.01683576,-0.004756171,-0.008959939,-0.005822919,-0.004799442,0.004070756,0.001131604,0.003450062,-0.001541147,-0.002775705,-8.79E-05,0.001177162,-0.000675721,0.001005613,-0.000981782,-0.002124093,8.93E-06,-0.001444,-0.001380861,-0.001292085,-0.000708517,6.70E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1/D4/D2.2-D6-D2-1437_D,D1/D6,56,-0.030005102,0.019360398,-0.004621989,-0.00671416,-0.007291846,-0.005984763,0.008649209,0.003300078,0.005866512,-0.00045795,-0.000629289,0.000291783,0.001833383,0.000532151,0.000470112,0.001614461,0.001252615,-0.000153862,0.000210877,0.001205647,0.00070412,0.000554421,-4.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D6-D4-1407-D2.2,D1,57,-0.003434309,0.003317446,-0.002403179,-0.005401809,-0.00226405,-0.002264141,0.002085523,0.003619466,-0.003913911,-0.001614081,0.001289919,-0.000572068,-0.001312924,-0.000365337,-0.001717402,-0.000432437,0.001507404,0.000462287,-0.001940678,0.000211747,-0.000167574,0.000178221,-9.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1/D6-D1g-1423_D-D4k-1424_D,D1/D6,58,-0.020244617,0.012382452,-0.004606591,-0.01841789,0.003026268,0.003160261,-0.015252073,0.002750877,-0.001441086,-0.00505315,-0.004825248,0.000129295,-0.000268694,-0.00182535,0.000179688,-0.000911839,-0.000913914,0.00050292,-8.03E-05,-0.000175215,0.000336782,0.000178891,-2.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D4-D6-D4c,D1,59,-0.008797966,0.006165861,-0.00382723,-0.003380208,0.005418636,0.009040509,0.002409052,-0.000446515,0.000581981,-0.000726072,-7.54E-05,0.000527263,0.001075938,0.002066117,-0.000848957,0.002308809,-0.00073659,7.06E-05,-0.000111872,-0.001116872,0.000320291,-0.00013695,-3.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-1369-D1w-D4-1371-1370-1372,D1,60,0.005192115,-0.01102535,0.006412259,0.003281323,0.037299274,-0.026312222,-0.000283799,0.000448983,-0.000127608,0.001312696,-0.000769752,5.35E-05,-1.90E-05,0.000410451,-5.48E-05,7.27E-05,6.19E-06,0.000104032,-9.04E-05,-2.60E-05,5.22E-06,8.17E-05,-9.73E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D6-D2.2-D4,D1,61,-0.016560062,0.011442501,-0.004628233,-0.010829246,-0.003155041,-0.002691593,0.001329021,0.000814853,0.002114675,0.002307395,-0.001468206,-0.001959469,0.001413562,-0.002074949,0.001084559,-0.000881313,0.000146875,-1.28E-05,0.000392826,0.000297599,0.000117805,7.82E-06,-5.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1-D4-D4c-D4f,D1,62,0.00393634,-0.002064148,-0.001773179,0.004893656,0.005134838,0.005560805,0.00197647,0.000130109,-0.000626989,-0.001072788,0.000765414,-0.00108597,0.001220142,0.000738453,0.000444715,-0.000726161,0.001302434,0.001317346,0.001927199,-0.000658193,-0.00171827,-5.01E-05,-7.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1/D6-D2.2-D4-1407_D-D2,D1/D6,63,-0.030336232,0.018824912,-0.002091793,-0.011204058,-0.007532325,-0.004735423,0.009828629,0.007641741,-0.002638601,0.001517917,-0.000459316,-0.001131266,-0.001111711,2.95E-05,-0.001449432,-0.000240091,-0.000580871,-1.87E-05,0.000768706,-9.59E-05,6.82E-05,3.33E-05,4.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
